what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1416970135199
processors,sysinfo,,,"2",1416970135199
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416970135199
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1416970135199
java.specification.name,sysinfo,,,"Java Platform API Specification",1416970135199
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416970135199
java.specification.version,sysinfo,,,"1.7",1416970135199
java.vendor,sysinfo,,,"Oracle Corporation",1416970135199
java.version,sysinfo,,,"1.7.0_25",1416970135199
java.vm.info,sysinfo,,,"mixed mode",1416970135199
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416970135199
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416970135199
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416970135199
java.vm.specification.version,sysinfo,,,"1.7",1416970135199
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416970135199
java.vm.version,sysinfo,,,"23.25-b01",1416970135199
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1416970139026
error,log,,,"The project description file (.project) for 'SVM-lib' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1416970142074
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970142096
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970144381
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1416970149655
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970159253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970162385
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1416970162393
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416970162393
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970170611
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1416970188065
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1416970190375
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1416970190589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970191144
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416970193199
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1416970193258
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416970193260
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416970199558
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416970199616
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1416970199680
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1416970200257
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1416970205036
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1416970205299
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1416970205349
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1416970206598
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1416970209052
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416970209421
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1416970210885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416970211292
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416970211489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1416970217462
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1416970231799
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416970250860
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1416970254469
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1416970254928
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1416970255272
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1416970259249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970260794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970261043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970280134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970329461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970334279
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970335243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970336853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970349641
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416970350750
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1416970352501
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970357069
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970365201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416970370651
