what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199707974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199713841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199714454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199716243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199725183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199727132
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199728573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199733610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199744321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199746471
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199755137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199760466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199766294
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417199773027
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417199774057
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1417199787133
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417199787559
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417199787624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199792507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1417199792527
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417199797857
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1417199820700
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417199824415
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417199828735
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1417199831948
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417199832129
