what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1417300244123
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417300248133
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300250660
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300251502
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1417300259177
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1417300261096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300263280
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300265480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300268382
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300273186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300277866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300279442
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300285963
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300289020
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417300292593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300293669
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300294917
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1417300304246
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1417300305182
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1417300306180
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300306945
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300314012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300319581
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300321843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300326070
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300349096
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1417300362247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300365070
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300370998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417300372621
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417300381107
error,log,,,"Could not read file: F:\\ML\\hw6\\MySVM\\src\\Platt_SVM.java.",1417300388065
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417300388159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300388705
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300418017
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300425053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300427939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300430669
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300434537
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300445629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300455769
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300460886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417300463959
