what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417648387719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648388375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648393010
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417648397172
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417648417104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648423478
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648425493
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417648431564
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417648434575
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648436695
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648438122
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417648446990
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417648452854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648453301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648454457
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417648457179
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417648461697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648473759
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648475593
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648477522
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648485728
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1417648499498
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417648502218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648522731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648545767
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648548660
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648580759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648617038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648637790
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648646198
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648663271
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648667408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648684143
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417648701536
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417648708047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417648711840
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417648716093
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417648728637
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417648730530
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1417648731458
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417648732704
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417648734524
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417648737496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648762092
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648764805
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648766419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648770741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648773218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648776268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648778643
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648781317
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417648802126
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1417648804882
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417648808674
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648867715
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648872588
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648885753
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648889196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648891247
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648898599
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1417648906832
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417648912508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648914010
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648919732
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1417648924687
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1417648925495
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1417648925960
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1417648927200
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417648927968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417648933059
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417648960461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648963896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648970509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648972904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417648989988
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417649072063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417649075862
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417649078969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1417649088087
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417649102498
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1417649103987
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1417649105799
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1417649107174
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1417649117852
