what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416882717777
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416882736378
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416882736599
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1416882739883
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1416882741049
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416882741458
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416882761028
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416882802524
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416882811504
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1416882823770
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1416882834914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416882837308
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416882837498
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1416882840770
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416882845978
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1416882847574
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1416882848211
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416882875014
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416882879964
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416882894743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416882977472
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416882978876
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416882981862
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416882982080
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883017108
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883024459
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883027095
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416883036017
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1416883037798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416883040127
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416883895519
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883908214
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883930541
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883940751
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883942916
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883948533
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883950655
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416883965981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1416883976079
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416883977239
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884064898
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416884070805
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416884072931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884084719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884088885
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1416884090785
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1416884091116
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884101958
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884104033
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1416884105407
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884108779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884116083
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416884121671
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1416884130034
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416884132581
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1416884134908
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416884142195
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1416884143459
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416884150251
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1416884150777
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416884154925
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1416884157767
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1416884158153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884160324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884291219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884292325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884430534
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1416884444537
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416884446978
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416884447889
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416884447889
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884448823
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884526499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884528462
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884592130
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416884595960
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885608737
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885621500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885625291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885627259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885718304
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885720968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885724098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885726438
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885738028
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1416885738678
